  Bin  iJet  MuRBin     q2min     q2max    Pt_min    Pt_max   BinSize       Sigma   stat(%)  syst+(%)  syst-(%)   tot+(%)   tot-(%)  Uncorr+  Uncorr-   Model+   Model-   RW402+   RW402-     JES+     JES-    RCES+    RCES-    ElEn+    ElEn-    ElTh+    ElTh-    Lumi+    Lumi-    LArN+    LArN-     PHP+     PHP-  PHPUnc+  PHPUnc-  StatMC+  StatMC-  RadErr+  RadErr-   HadCorr    HadErr   RadCorr          
   36     2       8      30.0      42.0      35.0      50.0    180.00    4.54e-05     35.97     31.07    -30.61     48.39    -48.09     1.00     1.00   -15.38    15.38    19.74   -19.74    -1.10     5.37     3.38    -3.46     3.78    -2.73    -2.76     1.36     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00    15.45    15.45     6.45    -6.45     0.956      3.02     1.043
   37     2       2      42.0      60.0       5.0       7.0     36.00    5.02e-02      5.17      6.45     -5.76      8.37     -7.85     1.00     1.00    -1.31     1.31     0.07    -0.07     3.10    -3.10    -3.99     4.93     0.64    -0.60    -0.04     0.05     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.84     1.84     0.47    -0.47     0.900      1.02     1.044
   38     2       3      42.0      60.0       7.0      11.0     72.00    4.24e-02      2.53      4.64     -4.54      5.30     -5.21     1.00     1.00    -2.88     2.88     2.82    -2.82    -1.27     1.49    -0.27     0.41     0.64    -0.34    -0.18     0.10     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     0.69     0.69     0.26    -0.26     0.945      1.26     1.028
   39     2       3      42.0      60.0      11.0      17.0    108.00    1.21e-02      3.14      6.00     -5.82      6.78     -6.62     1.00     1.00    -2.45     2.45     3.60    -3.60    -3.40     3.54     1.00    -0.71     0.92    -0.40    -0.11     0.18     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     0.73     0.73     0.42    -0.42     0.959      1.83     1.017
   40     2       6      42.0      60.0      17.0      25.0    144.00    2.47e-03      6.71     13.21    -13.40     14.88    -15.05     1.00     1.00    -8.31     8.31     8.70    -8.70    -4.94     4.57     1.16    -1.56     0.49    -0.69    -0.39     0.28     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     2.07     2.07     0.99    -0.99     0.965      1.77     1.034
   41     2       8      42.0      60.0      25.0      35.0    180.00    4.57e-04     13.76      7.94     -9.60     16.22    -17.09     1.00     1.00    -1.10     1.10     3.94    -3.95    -7.19     4.56     1.90    -0.81    -0.69    -0.67    -1.05    -0.41     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     3.66     3.66     2.44    -2.44     0.954      2.54     1.040
   42     2       9      42.0      60.0      35.0      50.0    270.00    5.27e-05     35.24     29.98    -30.31     45.62    -45.83     1.00     1.00    -9.10     9.09    21.97   -21.97    -7.81     8.80     2.48    -0.12    -7.12    -3.23    -0.18    -1.50     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00    12.84    12.84     8.51    -8.51     0.968     -0.55     0.988
   43     2       2      60.0      80.0       5.0       7.0     40.00    6.00e-02      5.87      6.83     -6.42      9.15     -8.85     1.00     1.00    -3.28     3.28    -2.38     2.38     1.92    -2.65    -3.10     4.38    -0.36    -0.83    -0.48     0.11     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     2.02     2.02     1.08    -1.08     0.894      0.46     1.050
   44     2       3      60.0      80.0       7.0      11.0     80.00    4.77e-02      3.69      5.99     -6.18      7.07     -7.23     1.00     1.00    -4.86     4.86     2.53    -2.53    -1.77     1.27    -1.13     0.99     0.09    -0.66    -0.20     0.08     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.05     1.05     0.40    -0.40     0.948      0.71     1.029
   45     2       4      60.0      80.0      11.0      17.0    120.00    1.55e-02      4.44      6.07     -6.78      7.51     -8.10     1.00     1.00    -3.54     3.54     3.66    -3.66    -3.47     2.66    -0.23    -1.54     0.41    -1.33    -0.53     0.17     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.20     1.20     0.47    -0.47     0.966      1.38     1.009
   46     2       6      60.0      80.0      17.0      25.0    160.00    2.91e-03      9.51      8.63     -7.55     12.89    -12.19     1.00     1.00    -3.44     3.44     3.57    -3.57    -4.68     6.20     1.34    -0.77    -0.50    -0.23     0.03    -0.01     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     2.43     2.43     1.33    -1.33     0.963      2.23     1.019
   47     2       8      60.0      80.0      25.0      35.0    200.00    3.95e-04     26.92     16.39     -9.77     32.27    -29.46     1.00     1.00    -2.96     2.96     0.13    -0.12    -2.84     8.81     4.64    -1.88     8.74     0.10     0.51     3.04     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     8.08     8.08     2.76    -2.76     0.960      1.12     1.045
   48     2       9      60.0      80.0      35.0      50.0    300.00    8.53e-05     45.85     27.52    -25.80     51.79    -50.90     1.00     1.00    -1.34     1.34    18.94   -18.94    -7.37    11.37     4.26    -1.57     2.29    -0.54    -2.01    -0.48     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00    14.71    14.71     5.08    -5.08     0.960      2.24     0.969
