  Bin  iJet  MuRBin     q2min     q2max    Pt_min    Pt_max   BinSize       Sigma   stat(%)  syst+(%)  syst-(%)   tot+(%)   tot-(%)  Uncorr+  Uncorr-   Model+   Model-   RW402+   RW402-     JES+     JES-    RCES+    RCES-    ElEn+    ElEn-    ElTh+    ElTh-    Lumi+    Lumi-    LArN+    LArN-     PHP+     PHP-  PHPUnc+  PHPUnc-  StatMC+  StatMC-  RadErr+  RadErr-   HadCorr    HadErr   RadCorr          
   13     3       1      16.0      22.0       5.5       8.0     15.00    2.56e+01      8.24     19.39    -18.18     21.19    -20.09     1.00     1.00    -9.59     9.59    12.86   -12.86     6.03    -4.44    -5.96     7.86     1.57     0.79     0.90     0.07     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     3.00     3.00     0.59    -0.59     0.730      7.34     1.037
   14     3       2      16.0      22.0       8.0      12.0     24.00    1.53e+01      6.18     11.28    -11.32     13.00    -13.03     1.00     1.00    -5.70     5.70     8.65    -8.65    -1.12     1.73    -2.61     2.14    -0.39    -0.20    -0.10    -0.54     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     1.91     1.91     0.74    -0.74     0.790      5.21     1.045
   15     3       4      16.0      22.0      12.0      20.0     48.00    4.46e+00      7.44      8.73     -8.58     11.80    -11.69     1.00     1.00    -5.34     5.34     4.58    -4.58    -3.20     3.55     0.28     0.21     0.48    -0.40     0.02     0.38     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.06     2.06     1.18    -1.18     0.834      2.80     1.068
   16     3       7      16.0      22.0      20.0      40.0    120.00    2.48e-01     30.12     22.02    -26.87     37.97    -40.97     1.00     1.00   -16.06    16.06     8.37    -8.37   -16.43     6.26    -2.21     0.33    -1.53     2.08     2.67    -3.26     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     9.28     9.28     3.46    -3.46     0.857      0.92     1.027
   17     3       1      22.0      30.0       5.5       8.0     20.00    2.05e+01      9.48     15.86    -12.35     18.68    -15.81     1.00     1.00    -5.14     5.14     7.97    -7.97     6.77    -4.00    -5.17     9.80    -0.67     0.47     0.71    -0.70     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     3.22     3.22     0.77    -0.77     0.733      7.53     1.041
   18     3       2      22.0      30.0       8.0      12.0     32.00    1.30e+01      7.22     10.07     -9.87     12.55    -12.39     1.00     1.00    -5.38     5.38     7.08    -7.08    -1.23     0.73    -1.92     2.90     0.26     0.01     0.53    -0.30     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.14     2.14     0.62    -0.62     0.791      5.41     1.037
   19     3       4      22.0      30.0      12.0      20.0     64.00    3.76e+00      8.63      6.86     -6.75     11.33    -11.27     1.00     1.00    -3.71     3.71     2.40    -2.40    -3.04     2.79    -0.11     1.76    -0.29     0.31     0.56    -0.72     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.30     2.30     1.68    -1.68     0.838      2.84     1.045
   20     3       7      22.0      30.0      20.0      40.0    160.00    2.57e-01     27.79     14.57    -14.31     32.03    -31.92     1.00     1.00     0.38    -0.38    -4.88     4.88    -7.16     7.63    -1.05     1.64    -0.96     0.49    -0.02    -0.71     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     7.40     7.40     8.02    -8.02     0.860      1.71     1.027
   21     3       1      30.0      42.0       5.5       8.0     30.00    2.15e+01      8.68     13.70    -10.71     16.42    -14.02     1.00     1.00    -2.16     2.16     6.55    -6.55     5.70    -3.20    -6.38     9.49     0.84    -0.16     0.84     0.05     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.80     2.80     0.56    -0.56     0.733      7.22     1.041
   22     3       3      30.0      42.0       8.0      12.0     48.00    1.39e+01      6.17     13.48    -13.64     14.93    -15.07     1.00     1.00    -7.57     7.57    10.31   -10.31    -1.59     1.12    -2.82     2.20    -0.10    -0.03     0.41    -0.40     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     1.65     1.65     1.01    -1.01     0.790      5.22     1.039
   23     3       4      30.0      42.0      12.0      20.0     96.00    3.32e+00      9.13     12.26    -11.46     15.54    -14.91     1.00     1.00    -8.07     8.07     6.52    -6.52    -2.61     4.62    -0.29     1.64     0.43     1.05     1.01    -0.28     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.27     2.27     1.81    -1.81     0.832      2.50     1.046
   24     3       7      30.0      42.0      20.0      40.0    240.00    1.32e-01     50.85     32.73    -26.39     62.78    -59.73     1.00     1.00   -14.37    14.37     6.75    -6.75   -13.91    20.89     9.78    -0.15     3.10     6.17     2.99     1.08     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00    14.84    14.84     3.43    -3.43     0.848      0.81     1.054
   25     3       2      42.0      60.0       5.5       8.0     45.00    1.73e+01     10.44      8.61     -9.33     13.88    -14.33     1.00     1.00     0.97    -0.97     1.63    -1.63     3.94    -4.36    -6.70     6.06    -1.24     0.72     0.19    -0.45     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     3.07     3.07     0.50    -0.50     0.731      6.82     1.042
   26     3       3      42.0      60.0       8.0      12.0     72.00    1.32e+01      6.65      4.46     -4.38      8.24     -8.19     1.00     1.00    -0.20     0.20     1.10    -1.10    -0.65     0.94    -2.03     2.25    -0.83     0.42     0.25    -0.45     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     1.69     1.69     1.25    -1.25     0.783      5.56     1.041
   27     3       4      42.0      60.0      12.0      20.0    144.00    3.75e+00      8.60      9.85    -10.88     13.29    -14.07     1.00     1.00    -6.71     6.71     5.75    -5.75    -4.94     2.18    -1.23    -0.52    -0.55    -0.65    -0.59    -0.31     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.06     2.06     1.12    -1.12     0.841      3.57     1.037
   28     3       7      42.0      60.0      20.0      40.0    360.00    2.95e-01     26.74     10.82    -12.16     30.92    -31.41     1.00     1.00     2.10    -2.10    -5.05     5.05    -5.70     3.30    -1.41    -0.10    -2.70     0.21     0.26    -0.15     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     7.40     7.40     3.65    -3.65     0.829      1.51     1.083
   29     3       2      60.0      80.0       5.5       8.0     50.00    1.34e+01     10.99      9.45    -10.70     14.86    -15.68     1.00     1.00     0.55    -0.55    -4.60     4.60     2.71    -2.51    -8.17     6.41    -1.47     1.40    -0.05    -0.63     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.98     2.98     0.65    -0.65     0.734      6.13     1.044
   30     3       3      60.0      80.0       8.0      12.0     80.00    9.07e+00      8.77      6.48     -6.02     11.15    -10.89     1.00     1.00    -2.99     2.99     0.53    -0.53    -2.12     2.71    -2.78     3.23    -0.12     0.49    -0.11     0.10     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.19     2.19     1.39    -1.39     0.780      4.80     1.033
   31     3       4      60.0      80.0      12.0      20.0    160.00    2.77e+00     11.99      7.89     -5.65     14.71    -13.65     1.00     1.00    -2.63     2.63     1.65    -1.65    -1.81     4.82     0.00     2.65    -0.01     1.78     0.34    -0.21     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.93     2.93     1.52    -1.52     0.830      3.24     1.036
   32     3       7      60.0      80.0      20.0      40.0    400.00    3.13e-01     27.47     14.64    -15.32     32.71    -33.02     1.00     1.00     2.99    -2.99     5.14    -5.15    -5.14    -0.17     1.75     0.49     3.04    -2.02    -1.45     0.55     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     9.79     9.79     7.90    -7.90     0.841      0.80     1.065
