  Bin  iJet  MuRBin     q2min     q2max    Pt_min    Pt_max   BinSize       Sigma   stat(%)  syst+(%)  syst-(%)   tot+(%)   tot-(%)  Uncorr+  Uncorr-   Model+   Model-   RW402+   RW402-     JES+     JES-    RCES+    RCES-    ElEn+    ElEn-    ElTh+    ElTh-    Lumi+    Lumi-    LArN+    LArN-     PHP+     PHP-  PHPUnc+  PHPUnc-  StatMC+  StatMC-  RadErr+  RadErr-   HadCorr    HadErr   RadCorr          
   11     1       7       8.0      11.0      25.0      35.0     30.00    1.77e-04     21.17     15.92    -11.74     26.92    -24.68     1.00     1.00     2.82    -2.82     2.75    -2.75    -7.75    12.52     0.05     0.82     0.02     4.37     1.86    -2.11     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     7.37     7.37     1.26    -1.26     0.953      0.89     1.037
   12     1       8       8.0      11.0      35.0      50.0     45.00    2.84e-05     34.83     25.51    -26.05     43.65    -43.97     1.00     1.00   -17.25    17.25     4.16    -4.16    -8.63    11.35     2.45    -7.02     1.78    -4.78    -5.06     2.52     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00    13.50    13.50     2.74    -2.74     0.962      1.99     1.028
   13     1       1      11.0      16.0       4.5       7.0     12.50    1.36e-01      1.86      4.09     -4.10      4.50     -4.51     1.00     1.00    -0.64     0.64     2.34    -2.34     0.87    -1.12    -2.61     2.70    -0.08     0.03    -0.17     0.08     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     0.98     0.98     0.16    -0.16     0.881      4.73     1.021
   14     1       2      11.0      16.0       7.0      11.0     20.00    4.59e-02      1.95     11.56    -12.03     11.73    -12.19     1.00     1.00    -3.99     3.99     6.31    -6.31    -7.09     7.34     4.59    -5.94     0.05    -0.40    -0.46     0.19     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     0.93     0.93     0.62    -0.62     0.912      3.82     1.021
   15     1       3      11.0      16.0      11.0      17.0     30.00    1.16e-02      2.74      7.55     -7.40      8.05     -7.91     1.00     1.00    -4.48     4.48     3.41    -3.41    -4.14     4.62     0.60    -1.55     0.15    -0.21    -0.24     0.38     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     0.99     0.99     0.78    -0.78     0.933      2.81     1.029
   16     1       5      11.0      16.0      17.0      25.0     40.00    1.91e-03      5.95      7.90     -7.24      9.97     -9.47     1.00     1.00    -4.65     4.65     2.49    -2.49    -4.17     5.32     0.90    -1.34     0.13    -0.39    -0.10     0.01     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.71     1.71     0.74    -0.74     0.951      1.97     1.037
   17     1       7      11.0      16.0      25.0      35.0     50.00    3.06e-04     15.97     12.25    -13.00     20.56    -21.01     1.00     1.00    -8.36     8.36     6.01    -6.01    -4.75     2.87     1.25    -2.35     0.78    -1.33    -1.29     1.46     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     5.30     5.30     1.23    -1.23     0.957      1.55     1.046
   18     1       8      11.0      16.0      35.0      50.0     75.00    5.74e-05     22.11     18.42    -17.60     28.51    -27.99     1.00     1.00   -12.14    12.14     7.28    -7.28    -4.95     6.97     2.00     1.27     0.01     1.40     1.23    -0.24     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     7.34     7.34     5.23    -5.23     0.956      0.63     0.996
   19     1       1      16.0      22.0       4.5       7.0     15.00    1.53e-01      2.20      3.81     -4.45      4.41     -4.98     1.00     1.00    -1.60     1.60    -0.52     0.52     0.45    -0.69    -3.45     2.57     1.19    -1.00    -0.62     0.48     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.17     1.17     0.16    -0.16     0.886      3.95     1.021
   20     1       2      16.0      22.0       7.0      11.0     24.00    5.75e-02      2.17      8.90     -9.22      9.16     -9.48     1.00     1.00    -3.12     3.12     2.48    -2.48    -6.76     6.86     3.44    -4.46     1.11    -0.76    -0.05     0.41     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     0.94     0.94     0.48    -0.48     0.921      3.37     1.023
   21     1       3      16.0      22.0      11.0      17.0     36.00    1.48e-02      3.03      5.08     -4.60      5.94     -5.54     1.00     1.00    -1.30     1.30     0.33    -0.33    -3.75     4.48     0.35    -1.18     0.87    -0.82    -0.49     0.33     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     0.97     0.97     0.46    -0.46     0.938      2.73     1.026
   22     1       5      16.0      22.0      17.0      25.0     48.00    2.76e-03      6.13      7.78     -7.41      9.97     -9.68     1.00     1.00    -4.41     4.41     3.76    -3.76    -3.25     4.02     0.40    -0.80     0.66    -0.31    -0.35     0.56     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.70     1.70     2.26    -2.26     0.950      1.68     1.025
   23     1       7      16.0      22.0      25.0      35.0     60.00    3.67e-04     17.86     17.81    -17.69     25.77    -25.68     1.00     1.00   -12.27    12.27     8.54    -8.54    -7.37     7.41     0.23     0.68     2.38    -1.76     0.11     0.94     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     4.96     4.96     2.36    -2.36     0.959      1.49     1.053
   24     1       8      16.0      22.0      35.0      50.0     90.00    5.27e-05     36.28     17.01    -16.43     41.74    -41.51     1.00     1.00     3.24    -3.24    -4.35     4.35    -8.75     9.14     2.18    -1.34     4.59    -3.31    -1.36    -1.05     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00    11.73    11.73     3.14    -3.14     0.939      0.46     1.061
   25     1       1      22.0      30.0       4.5       7.0     20.00    1.61e-01      2.61      6.35     -6.37      6.88     -6.90     1.00     1.00    -3.91     3.91     2.95    -2.95     0.81    -1.07    -3.48     3.48     0.52    -0.21     0.03     0.07     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.14     1.14     0.32    -0.32     0.890      3.32     1.023
   26     1       2      22.0      30.0       7.0      11.0     32.00    6.61e-02      2.44      9.59     -9.15      9.90     -9.48     1.00     1.00    -2.30     2.30     4.73    -4.73    -5.89     6.75     3.97    -4.27    -0.16    -0.19    -0.47     0.11     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     0.96     0.96     0.30    -0.30     0.929      2.89     1.025
   27     1       3      22.0      30.0      11.0      17.0     48.00    1.82e-02      3.32      8.46     -8.13      9.10     -8.80     1.00     1.00    -4.61     4.61     5.27    -5.27    -3.34     4.24     1.15    -1.63     0.14    -0.21    -0.13     0.19     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     0.96     0.96     0.70    -0.70     0.945      2.82     1.021
   28     1       6      22.0      30.0      17.0      25.0     64.00    3.03e-03      7.70      9.41     -8.28     12.26    -11.41     1.00     1.00    -3.49     3.49     5.63    -5.63    -3.87     5.70     2.26    -1.76     0.62    -0.09    -0.02     0.35     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     2.05     2.05     0.67    -0.67     0.953      2.07     1.030
   29     1       7      22.0      30.0      25.0      35.0     80.00    5.20e-04     15.98     11.93     -9.24     20.00    -18.53     1.00     1.00    -3.96     3.96     4.96    -4.96    -3.41     8.18     2.15    -2.19    -0.52     1.47    -0.45    -0.15     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     4.83     4.83     1.77    -1.77     0.962      0.94     1.015
   30     1       8      22.0      30.0      35.0      50.0    120.00    1.17e-04     24.92     15.88    -16.01     29.40    -29.47     1.00     1.00     9.37    -9.37    -6.12     6.12    -3.50     3.66    -0.24    -0.37    -2.20    -0.47     0.55    -0.81     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     8.51     8.51     6.23    -6.23     0.949      1.40     1.003
   31     1       1      30.0      42.0       4.5       7.0     30.00    1.93e-01      2.46      5.00     -4.86      5.59     -5.47     1.00     1.00     0.27    -0.27    -3.50     3.50     0.92    -0.80    -2.61     2.87     0.71    -0.85    -0.43     0.34     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.03     1.03     0.25    -0.25     0.891      2.61     1.027
   32     1       2      30.0      42.0       7.0      11.0     48.00    8.74e-02      2.26      7.33     -7.57      7.68     -7.91     1.00     1.00    -1.61     1.61     0.98    -0.98    -6.15     6.29     2.76    -3.58     0.60    -0.69    -0.32     0.13     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     0.83     0.83     0.13    -0.13     0.937      2.34     1.023
   33     1       3      30.0      42.0      11.0      17.0     72.00    2.36e-02      3.12      7.29     -7.19      7.94     -7.85     1.00     1.00    -3.09     3.09     4.94    -4.94    -3.71     4.01     0.61    -1.12     0.11    -0.08    -0.14     0.07     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     0.84     0.84     0.36    -0.36     0.951      2.32     1.022
   34     1       6      30.0      42.0      17.0      25.0     96.00    4.62e-03      6.33     10.06    -10.09     11.95    -11.97     1.00     1.00    -5.93     5.93     6.71    -6.71    -3.93     3.81     1.01    -1.02     0.53    -0.04    -0.10     0.28     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.60     1.60     0.84    -0.84     0.954      1.96     1.030
   35     1       7      30.0      42.0      25.0      35.0    120.00    5.56e-04     19.62     15.99    -16.22     25.50    -25.65     1.00     1.00   -12.38    12.38     3.83    -3.83    -7.96     7.20     1.70    -1.00    -0.03     1.12     0.34     1.09     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     5.08     5.08     1.70    -1.70     0.957      1.30     1.024
   36     1       8      30.0      42.0      35.0      50.0    180.00    8.35e-05     40.13     66.45    -65.60     78.89    -78.17     1.00     1.00   -41.73    41.73    43.92   -43.92    -6.18     5.64     7.28     0.15     7.19    -0.88    -1.19     4.13     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00    23.92    23.92     4.25    -4.25     0.946      1.19     1.072
   37     1       1      42.0      60.0       4.5       7.0     45.00    1.88e-01      2.91      3.59     -3.40      4.65     -4.51     1.00     1.00    -0.38     0.38     0.87    -0.87     0.30    -0.83    -2.44     2.84     0.54    -0.73    -0.23     0.34     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.18     1.18     0.43    -0.43     0.890      1.89     1.030
   38     1       3      42.0      60.0       7.0      11.0     72.00    9.50e-02      2.42      9.49     -9.29      9.80     -9.61     1.00     1.00    -3.45     3.45     5.22    -5.22    -5.76     5.91     3.55    -3.31     0.75    -0.58    -0.24     0.31     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     0.84     0.84     0.14    -0.14     0.943      1.83     1.024
   39     1       3      42.0      60.0      11.0      17.0    108.00    2.89e-02      3.20      5.37     -4.40      6.25     -5.44     1.00     1.00    -0.93     0.93     2.92    -2.92    -2.44     3.72     1.47    -1.04     0.90    -0.58    -0.20     0.34     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     0.82     0.82     0.27    -0.27     0.958      2.15     1.009
   40     1       6      42.0      60.0      17.0      25.0    144.00    6.12e-03      6.27      8.30     -7.94     10.46    -10.17     1.00     1.00    -4.69     4.69     4.68    -4.68    -3.16     4.16     1.01    -1.32     0.77    -1.06    -0.66     0.51     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.41     1.41     1.45    -1.45     0.962      1.83     1.026
   41     1       8      42.0      60.0      25.0      35.0    180.00    1.10e-03     13.67      6.31     -7.93     15.18    -15.92     1.00     1.00     3.81    -3.81     0.42    -0.42    -5.27     2.46     1.02    -1.45    -0.70    -0.81    -0.13    -0.34     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     3.68     3.68     1.49    -1.49     0.957      1.26     1.022
   42     1       9      42.0      60.0      35.0      50.0    270.00    1.80e-04     24.96     15.85    -15.06     29.91    -29.50     1.00     1.00    -6.16     6.16     9.47    -9.47    -2.26     6.33     1.52     1.79    -3.32    -1.75    -0.20    -1.89     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     7.65     7.65     4.11    -4.11     0.954      1.21     1.029
   43     1       2      60.0      80.0       4.5       7.0     50.00    2.36e-01      3.93      6.67     -6.42      7.78     -7.57     1.00     1.00     0.67    -0.67    -5.57     5.57     1.00    -0.71    -2.10     2.29     1.51    -0.70    -0.09     0.39     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.47     1.47     0.54    -0.54     0.887      1.28     1.031
   44     1       3      60.0      80.0       7.0      11.0     80.00    1.04e-01      3.70      7.75     -7.59      8.61     -8.46     1.00     1.00    -0.55     0.55    -3.97     3.97    -5.63     5.95     1.98    -2.41     0.80    -0.60    -0.03     0.61     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.28     1.28     0.44    -0.44     0.946      1.24     1.023
   45     1       4      60.0      80.0      11.0      17.0    120.00    3.27e-02      4.85      6.31     -6.33      7.94     -7.96     1.00     1.00    -0.23     0.23     3.34    -3.34    -4.81     4.81     1.09    -1.08     0.78    -0.92    -0.15     0.28     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.29     1.29     0.40    -0.40     0.964      1.79     1.005
   46     1       6      60.0      80.0      17.0      25.0    160.00    8.00e-03      8.50      4.04     -4.60      9.36     -9.62     1.00     1.00     0.57    -0.57    -0.66     0.66    -3.56     2.73     0.88    -0.81     0.92    -0.72    -0.21     0.05     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     2.02     2.02     0.74    -0.74     0.961      1.96     1.006
   47     1       8      60.0      80.0      25.0      35.0    200.00    8.53e-04     31.28     29.93    -28.28     43.74    -42.62     1.00     1.00   -17.42    17.42    17.49   -17.49    -7.48    12.26     3.26    -3.33     1.88     0.68    -0.86    -0.30     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00    10.61    10.61     2.79    -2.79     0.962      0.85     1.032
   48     1       9      60.0      80.0      35.0      50.0    300.00    1.45e-04     54.72     31.10    -27.15     61.71    -59.81     1.00     1.00     4.07    -4.07    16.07   -16.08    -5.35    13.05    11.02    -6.19     3.72     2.97     1.81     1.63     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00    19.21    19.21     3.59    -3.59     0.954      1.82     0.986
