  Bin  iJet  MuRBin     q2min     q2max    Pt_min    Pt_max   BinSize       Sigma   stat(%)  syst+(%)  syst-(%)   tot+(%)   tot-(%)  Uncorr+  Uncorr-   Model+   Model-   RW402+   RW402-     JES+     JES-    RCES+    RCES-    ElEn+    ElEn-    ElTh+    ElTh-    Lumi+    Lumi-    LArN+    LArN-     PHP+     PHP-  PHPUnc+  PHPUnc-  StatMC+  StatMC-  RadErr+  RadErr-   HadCorr    HadErr   RadCorr          
   11     1       7       8.0      11.0      25.0      35.0     30.00    1.56e+00     21.17     15.98    -11.93     27.15    -24.98     1.00     1.00     1.95    -1.95     2.87    -2.87    -7.52    12.19    -0.90     1.76    -0.33     4.57     3.08    -3.39     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     7.21     7.21     1.26    -1.26     0.953      0.89     1.037
   12     1       8       8.0      11.0      35.0      50.0     45.00    2.51e-01     34.82     25.51    -25.70     43.96    -44.06     1.00     1.00   -17.80    17.80     4.27    -4.27    -8.38    11.04     1.34    -5.81     1.36    -4.36    -3.57     0.99     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00    13.21    13.21     2.74    -2.74     0.962      1.99     1.028
   13     1       1      11.0      16.0       4.5       7.0     12.50    1.06e+03      1.86      5.07     -5.04      5.41     -5.39     1.00     1.00    -1.15     1.15     2.03    -2.03     0.88    -1.12    -3.13     3.25    -0.33     0.34     0.56    -0.61     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     0.96     0.96     0.16    -0.16     0.881      4.73     1.021
   14     1       2      11.0      16.0       7.0      11.0     20.00    3.58e+02      1.95     11.37    -11.73     11.54    -11.90     1.00     1.00    -4.47     4.47     5.89    -5.89    -6.90     7.14     3.86    -5.13    -0.23    -0.05     0.34    -0.55     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     0.91     0.91     0.62    -0.62     0.912      3.82     1.021
   15     1       3      11.0      16.0      11.0      17.0     30.00    9.04e+01      2.73      7.95     -7.73      8.43     -8.22     1.00     1.00    -4.93     4.93     3.07    -3.07    -4.01     4.49    -0.02    -0.87    -0.12     0.13     0.53    -0.35     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     0.96     0.96     0.78    -0.78     0.933      2.81     1.029
   16     1       5      11.0      16.0      17.0      25.0     40.00    1.49e+01      5.95      8.33     -7.70     10.36     -9.86     1.00     1.00    -5.16     5.16     2.13    -2.13    -4.04     5.17     0.21    -0.59    -0.17    -0.01     0.75    -0.78     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.67     1.67     0.74    -0.74     0.951      1.97     1.037
   17     1       7      11.0      16.0      25.0      35.0     50.00    2.38e+00     15.97     12.37    -13.00     20.79    -21.17     1.00     1.00    -8.82     8.82     5.56    -5.56    -4.60     2.77     0.51    -1.53     0.45    -0.91    -0.37     0.59     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     5.17     5.17     1.23    -1.23     0.957      1.55     1.046
   18     1       8      11.0      16.0      35.0      50.0     75.00    4.48e-01     22.11     18.60    -17.74     28.83    -28.28     1.00     1.00   -12.49    12.49     6.81    -6.81    -4.79     6.78     1.26     1.99    -0.30     1.75     2.07    -1.06     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     7.18     7.18     5.23    -5.23     0.956      0.63     0.996
   19     1       1      16.0      22.0       4.5       7.0     15.00    7.41e+02      2.20      4.96     -5.51      5.44     -5.95     1.00     1.00    -2.08     2.08    -0.95     0.95     0.47    -0.70    -3.92     3.11     0.80    -0.64     0.02    -0.20     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.15     1.15     0.16    -0.16     0.886      3.95     1.021
   20     1       2      16.0      22.0       7.0      11.0     24.00    2.78e+02      2.17      8.90     -9.14      9.17     -9.41     1.00     1.00    -3.58     3.58     1.99    -1.99    -6.61     6.70     2.83    -3.78     0.71    -0.39     0.59    -0.28     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     0.92     0.92     0.48    -0.48     0.921      3.37     1.023
   21     1       3      16.0      22.0      11.0      17.0     36.00    7.13e+01      3.03      5.59     -5.08      6.40     -5.96     1.00     1.00    -1.79     1.79    -0.12     0.12    -3.65     4.37    -0.20    -0.56     0.47    -0.46     0.16    -0.35     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     0.95     0.95     0.46    -0.46     0.938      2.73     1.026
   22     1       5      16.0      22.0      17.0      25.0     48.00    1.33e+01      6.13      8.06     -7.72     10.23     -9.95     1.00     1.00    -4.86     4.86     3.24    -3.24    -3.16     3.92    -0.17    -0.18     0.27     0.06     0.31    -0.14     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.66     1.66     2.26    -2.26     0.950      1.68     1.025
   23     1       7      16.0      22.0      25.0      35.0     60.00    1.77e+00     17.86     17.84    -17.70     25.92    -25.82     1.00     1.00   -12.74    12.74     7.78    -7.78    -7.19     7.23    -0.53     1.49     1.82    -1.25     0.98    -0.01     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     4.87     4.87     2.36    -2.36     0.959      1.49     1.053
   24     1       8      16.0      22.0      35.0      50.0     90.00    2.55e-01     36.28     16.61    -16.29     41.92    -41.80     1.00     1.00     2.21    -2.21    -5.08     5.08    -8.53     8.92     1.11    -0.20     3.81    -2.59    -0.15    -2.30     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00    11.51    11.51     3.14    -3.14     0.939      0.46     1.061
   25     1       1      22.0      30.0       4.5       7.0     20.00    5.59e+02      2.61      7.03     -7.03      7.52     -7.52     1.00     1.00    -4.33     4.33     2.17    -2.17     0.83    -1.08    -3.96     4.00     0.22     0.18     0.58    -0.46     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.13     1.13     0.32    -0.32     0.890      3.32     1.023
   26     1       2      22.0      30.0       7.0      11.0     32.00    2.30e+02      2.45      9.39     -8.92      9.71     -9.26     1.00     1.00    -2.73     2.73     3.96    -3.96    -5.82     6.68     3.44    -3.71    -0.45     0.20     0.07    -0.40     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     0.95     0.95     0.30    -0.30     0.929      2.89     1.025
   27     1       3      22.0      30.0      11.0      17.0     48.00    6.31e+01      3.32      8.51     -8.15      9.16     -8.82     1.00     1.00    -5.01     5.01     4.51    -4.51    -3.29     4.19     0.66    -1.10    -0.15     0.16     0.39    -0.31     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     0.95     0.95     0.70    -0.70     0.945      2.82     1.021
   28     1       6      22.0      30.0      17.0      25.0     64.00    1.05e+01      7.70      9.24     -8.14     12.17    -11.36     1.00     1.00    -3.98     3.98     4.73    -4.73    -3.81     5.63     1.67    -1.13     0.27     0.36     0.60    -0.25     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     2.04     2.04     0.67    -0.67     0.953      2.07     1.030
   29     1       7      22.0      30.0      25.0      35.0     80.00    1.81e+00     15.98     11.89     -9.20     20.11    -18.65     1.00     1.00    -4.47     4.47     4.02    -4.02    -3.35     8.10     1.54    -1.53    -0.87     1.92     0.20    -0.77     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     4.79     4.79     1.77    -1.77     0.962      0.94     1.015
   30     1       8      22.0      30.0      35.0      50.0    120.00    4.06e-01     24.92     16.02    -16.21     29.69    -29.79     1.00     1.00     8.86    -8.86    -6.80     6.80    -3.45     3.61    -0.72     0.15    -2.47    -0.09     1.07    -1.31     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     8.45     8.45     6.23    -6.23     0.949      1.40     1.003
   31     1       1      30.0      42.0       4.5       7.0     30.00    5.36e+02      2.46      6.51     -6.36      6.99     -6.84     1.00     1.00     0.06    -0.06    -4.72     4.72     0.93    -0.81    -2.93     3.25     0.37    -0.52    -0.00    -0.11     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.02     1.02     0.25    -0.25     0.891      2.61     1.027
   32     1       2      30.0      42.0       7.0      11.0     48.00    2.43e+02      2.26      7.48     -7.65      7.83     -7.99     1.00     1.00    -1.79     1.79    -0.20     0.20    -6.07     6.21     2.40    -3.16     0.29    -0.39     0.07    -0.29     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     0.82     0.82     0.13    -0.13     0.937      2.34     1.023
   33     1       3      30.0      42.0      11.0      17.0     72.00    6.56e+01      3.12      6.95     -6.82      7.65     -7.53     1.00     1.00    -3.26     3.26     3.68    -3.68    -3.66     3.95     0.26    -0.71    -0.22     0.22     0.28    -0.37     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     0.84     0.84     0.36    -0.36     0.951      2.32     1.022
   34     1       6      30.0      42.0      17.0      25.0     96.00    1.29e+01      6.33      9.55     -9.59     11.56    -11.59     1.00     1.00    -6.08     6.08     5.37    -5.37    -3.87     3.76     0.64    -0.59     0.18     0.28     0.33    -0.18     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.58     1.58     0.84    -0.84     0.954      1.96     1.030
   35     1       7      30.0      42.0      25.0      35.0    120.00    1.55e+00     19.62     15.89    -16.11     25.61    -25.75     1.00     1.00   -12.57    12.57     1.94    -1.94    -7.85     7.10     1.16    -0.39    -0.51     1.57     0.96     0.42     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     5.03     5.03     1.70    -1.70     0.957      1.30     1.024
   36     1       8      30.0      42.0      35.0      50.0    180.00    2.32e-01     40.13     64.29    -63.61     77.35    -76.78     1.00     1.00   -41.69    41.68    41.04   -41.04    -6.09     5.55     6.52     0.93     6.48    -0.27    -0.36     3.22     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00    23.66    23.66     4.25    -4.25     0.946      1.19     1.072
   37     1       1      42.0      60.0       4.5       7.0     45.00    3.88e+02      2.91      5.01     -4.72      5.84     -5.60     1.00     1.00    -0.76     0.76     0.33    -0.33     0.18    -0.70    -3.47     3.90    -0.12    -0.04     0.28    -0.14     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.16     1.16     0.43    -0.43     0.890      1.89     1.030
   38     1       3      42.0      60.0       7.0      11.0     72.00    1.96e+02      2.43      9.30     -9.13      9.63     -9.46     1.00     1.00    -3.77     3.77     4.69    -4.69    -5.80     5.95     2.56    -2.29     0.15     0.04     0.21    -0.12     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     0.83     0.83     0.14    -0.14     0.943      1.83     1.024
   39     1       3      42.0      60.0      11.0      17.0    108.00    5.96e+01      3.20      5.52     -4.69      6.39     -5.70     1.00     1.00    -1.26     1.26     2.42    -2.42    -2.52     3.78     0.53    -0.08     0.32     0.02     0.24    -0.08     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     0.81     0.81     0.27    -0.27     0.958      2.15     1.009
   40     1       6      42.0      60.0      17.0      25.0    144.00    1.26e+01      6.27      8.46     -8.03     10.63    -10.29     1.00     1.00    -4.98     4.98     4.16    -4.16    -3.23     4.22     0.06    -0.35     0.17    -0.44    -0.21     0.09     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.40     1.40     1.45    -1.45     0.962      1.83     1.026
   41     1       8      42.0      60.0      25.0      35.0    180.00    2.27e+00     13.67      6.42     -8.08     15.38    -16.14     1.00     1.00     3.43    -3.43    -0.05     0.05    -5.32     2.53     0.10    -0.49    -1.26    -0.22     0.31    -0.75     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     3.64     3.64     1.49    -1.49     0.957      1.26     1.022
   42     1       9      42.0      60.0      35.0      50.0    270.00    3.72e-01     24.96     15.87    -15.12     30.18    -29.79     1.00     1.00    -6.48     6.48     8.85    -8.85    -2.35     6.37     0.47     2.84    -3.92    -1.07     0.29    -2.33     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     7.57     7.57     4.11    -4.11     0.954      1.21     1.029
   43     1       2      60.0      80.0       4.5       7.0     50.00    2.76e+02      3.94      8.49     -8.38      9.42     -9.31     1.00     1.00    -0.11     0.11    -6.72     6.72     0.57    -0.26    -3.87     4.06     0.38     0.40     0.32    -0.07     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.43     1.43     0.54    -0.54     0.887      1.28     1.031
   44     1       3      60.0      80.0       7.0      11.0     80.00    1.22e+02      3.71      8.92     -8.66      9.69     -9.45     1.00     1.00    -1.39     1.39    -5.29     5.29    -5.95     6.30    -0.07    -0.33    -0.43     0.62     0.43     0.09     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.25     1.25     0.44    -0.44     0.946      1.24     1.023
   45     1       4      60.0      80.0      11.0      17.0    120.00    3.84e+01      4.86      6.47     -6.45      8.11     -8.09     1.00     1.00    -1.08     1.08     1.85    -1.85    -5.16     5.19    -0.96     0.99    -0.46     0.32     0.32    -0.24     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.26     1.26     0.40    -0.40     0.964      1.79     1.005
   46     1       6      60.0      80.0      17.0      25.0    160.00    9.37e+00      8.50      5.19     -5.67     10.00    -10.26     1.00     1.00    -0.22     0.22    -1.95     1.95    -3.89     3.11    -1.00     1.08    -0.23     0.41     0.21    -0.42     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.98     1.98     0.74    -0.74     0.961      1.96     1.006
   47     1       8      60.0      80.0      25.0      35.0    200.00    9.99e-01     31.28     29.19    -27.35     43.52    -42.31     1.00     1.00   -18.40    18.40    14.85   -14.85    -8.04    12.77    -0.04     0.01    -0.12     2.60    -0.11    -1.10     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00    10.38    10.38     2.79    -2.79     0.962      0.85     1.032
   48     1       9      60.0      80.0      35.0      50.0    300.00    1.70e-01     54.72     28.68    -24.46     61.10    -59.24     1.00     1.00     2.46    -2.46    13.18   -13.19    -6.04    13.63     7.14    -2.39     1.44     5.08     2.60     0.68     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00    18.80    18.80     3.59    -3.59     0.954      1.82     0.986
