  Bin  iJet  MuRBin     q2min     q2max    Pt_min    Pt_max   BinSize       Sigma   stat(%)  syst+(%)  syst-(%)   tot+(%)   tot-(%)  Uncorr+  Uncorr-   Model+   Model-   RW402+   RW402-     JES+     JES-    RCES+    RCES-    ElEn+    ElEn-    ElTh+    ElTh-    Lumi+    Lumi-    LArN+    LArN-     PHP+     PHP-  PHPUnc+  PHPUnc-  StatMC+  StatMC-  RadErr+  RadErr-   HadCorr    HadErr   RadCorr          
   11     3       4      11.0      16.0      12.0      20.0     40.00    6.45e-04      6.87      9.30     -9.68     11.68    -11.99     1.00     1.00    -5.82     5.82     6.02    -6.02    -3.94     2.86     0.51    -0.33     0.07    -0.18    -0.28    -0.23     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.10     2.10     1.05    -1.05     0.845      2.73     1.041
   12     3       7      11.0      16.0      20.0      40.0    100.00    5.07e-05     19.59     11.11    -11.81     22.78    -23.13     1.00     1.00    -2.83     2.83    -0.09     0.09    -7.87     7.37     1.57    -2.99     1.96    -2.36    -2.43     2.37     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     5.89     5.89     3.45    -3.45     0.856      0.16     1.028
   13     3       1      16.0      22.0       5.5       8.0     15.00    5.29e-03      8.24     19.42    -18.20     21.19    -20.07     1.00     1.00    -9.13     9.13    13.65   -13.65     6.11    -4.49    -5.40     7.28     2.06     0.38     0.13     0.91     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     3.06     3.06     0.59    -0.59     0.730      7.34     1.037
   14     3       2      16.0      22.0       8.0      12.0     24.00    3.16e-03      6.18     11.24    -11.29     12.93    -12.98     1.00     1.00    -5.21     5.20     9.33    -9.33    -1.17     1.79    -2.02     1.48     0.04    -0.62    -0.85     0.24     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     1.95     1.95     0.74    -0.74     0.790      5.21     1.045
   15     3       4      16.0      22.0      12.0      20.0     48.00    9.23e-04      7.44      8.63     -8.40     11.68    -11.50     1.00     1.00    -4.90     4.90     5.13    -5.13    -3.29     3.64     0.86    -0.41     0.88    -0.77    -0.65     1.10     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.10     2.10     1.18    -1.18     0.834      2.80     1.068
   16     3       7      16.0      22.0      20.0      40.0    120.00    5.13e-05     30.12     21.88    -26.86     37.64    -40.74     1.00     1.00   -15.59    15.59     9.19    -9.20   -16.79     6.42    -1.42    -0.57    -0.99     1.59     1.76    -2.30     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     9.46     9.46     3.46    -3.46     0.857      0.92     1.027
   17     3       1      22.0      30.0       5.5       8.0     20.00    5.90e-03      9.48     15.69    -12.34     18.48    -15.74     1.00     1.00    -4.65     4.65     8.93    -8.93     6.79    -4.00    -4.61     9.23    -0.32     0.01     0.06    -0.08     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     3.24     3.24     0.77    -0.77     0.733      7.53     1.041
   18     3       2      22.0      30.0       8.0      12.0     32.00    3.73e-03      7.22     10.08     -9.94     12.51    -12.40     1.00     1.00    -4.92     4.92     7.97    -7.97    -1.26     0.76    -1.38     2.32     0.59    -0.42    -0.07     0.28     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.16     2.16     0.62    -0.62     0.791      5.41     1.037
   19     3       4      22.0      30.0      12.0      20.0     64.00    1.08e-03      8.63      6.41     -6.43     10.99    -11.00     1.00     1.00    -3.27     3.27     3.22    -3.22    -3.09     2.83     0.42     1.20     0.02    -0.10    -0.02    -0.18     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.32     2.32     1.68    -1.68     0.838      2.84     1.045
   20     3       7      22.0      30.0      20.0      40.0    160.00    7.38e-05     27.79     14.11    -13.87     31.57    -31.47     1.00     1.00     0.97    -0.97    -3.94     3.94    -7.25     7.72    -0.40     0.95    -0.58    -0.01    -0.73    -0.04     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     7.45     7.45     8.02    -8.02     0.860      1.71     1.027
   21     3       1      30.0      42.0       5.5       8.0     30.00    7.74e-03      8.68     14.04    -11.23     16.64    -14.35     1.00     1.00    -1.95     1.95     8.01    -8.01     5.75    -3.22    -6.06     9.14     1.22    -0.51     0.38     0.55     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.83     2.83     0.56    -0.56     0.733      7.22     1.041
   22     3       3      30.0      42.0       8.0      12.0     48.00    4.98e-03      6.17     14.28    -14.43     15.62    -15.76     1.00     1.00    -7.43     7.43    11.74   -11.74    -1.62     1.15    -2.48     1.79     0.25    -0.36    -0.03     0.07     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     1.66     1.66     1.01    -1.01     0.790      5.22     1.039
   23     3       4      30.0      42.0      12.0      20.0     96.00    1.19e-03      9.13     12.83    -12.16     15.93    -15.40     1.00     1.00    -7.88     7.88     8.20    -8.20    -2.65     4.69     0.16     1.13     0.86     0.66     0.48     0.30     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.30     2.30     1.81    -1.81     0.832      2.50     1.046
   24     3       7      30.0      42.0      20.0      40.0    240.00    4.74e-05     50.85     33.79    -27.59     62.84    -59.73     1.00     1.00   -13.92    13.92    10.37   -10.38   -14.10    21.16    10.90    -1.32     4.07     5.35     1.82     2.37     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00    15.00    15.00     3.43    -3.43     0.848      0.81     1.054
   25     3       2      42.0      60.0       5.5       8.0     45.00    8.40e-03     10.44      7.80     -8.49     13.28    -13.70     1.00     1.00     1.39    -1.39     2.20    -2.20     4.10    -4.53    -5.67     5.00    -0.57     0.02    -0.33     0.04     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     3.10     3.10     0.50    -0.50     0.731      6.82     1.042
   26     3       3      42.0      60.0       8.0      12.0     72.00    6.40e-03      6.65      3.45     -3.33      7.66     -7.61     1.00     1.00     0.15    -0.15     1.58    -1.58    -0.56     0.85    -1.12     1.32    -0.26    -0.18    -0.19    -0.04     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     1.70     1.70     1.25    -1.25     0.783      5.56     1.041
   27     3       4      42.0      60.0      12.0      20.0    144.00    1.81e-03      8.60      9.66    -10.87     13.08    -14.00     1.00     1.00    -6.41     6.41     6.32    -6.32    -4.88     2.09    -0.23    -1.57     0.07    -1.31    -1.08     0.14     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.08     2.08     1.12    -1.12     0.841      3.57     1.037
   28     3       7      42.0      60.0      20.0      40.0    360.00    1.43e-04     26.74     10.46    -11.67     30.47    -30.90     1.00     1.00     2.53    -2.53    -4.54     4.54    -5.63     3.21    -0.31    -1.25    -2.04    -0.51    -0.27     0.35     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     7.48     7.48     3.65    -3.65     0.829      1.51     1.083
   29     3       2      60.0      80.0       5.5       8.0     50.00    1.14e-02     10.98      7.60     -8.79     13.64    -14.34     1.00     1.00     1.33    -1.33    -3.42     3.42     3.17    -3.00    -6.51     4.70    -0.39     0.33    -0.47    -0.18     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     3.04     3.04     0.65    -0.65     0.734      6.13     1.044
   30     3       3      60.0      80.0       8.0      12.0     80.00    7.74e-03      8.77      5.17     -4.76     10.34    -10.14     1.00     1.00    -2.28     2.27     1.84    -1.84    -1.76     2.33    -0.99     1.43     1.00    -0.61    -0.54     0.57     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.24     2.24     1.39    -1.39     0.780      4.80     1.033
   31     3       4      60.0      80.0      12.0      20.0    160.00    2.36e-03     11.99      7.22     -5.43     14.23    -13.42     1.00     1.00    -1.85     1.85     3.09    -3.09    -1.41     4.45     2.01     0.69     1.21     0.62    -0.11     0.29     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     3.00     3.00     1.52    -1.52     0.830      3.24     1.036
   32     3       7      60.0      80.0      20.0      40.0    400.00    2.67e-04     27.47     15.81    -16.06     32.93    -33.06     1.00     1.00     3.75    -3.75     6.41    -6.42    -4.89    -0.57     3.44    -1.16     4.10    -3.05    -1.86     0.98     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00    10.00    10.00     7.90    -7.90     0.841      0.80     1.065
